[Current] NEW_ORDER - Takes(s): 10.0, Count: 252, TPM: 1514.0, Sum(ms): 5128.0, Avg(ms): 20.4, 50th(ms): 21.0, 90th(ms): 24.1, 95th(ms): 25.2, 99th(ms): 27.3, 99.9th(ms): 28.3, Max(ms): 28.3
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 28, TPM: 168.3, Sum(ms): 175.6, Avg(ms): 6.3, 50th(ms): 6.8, 90th(ms): 7.9, 95th(ms): 8.4, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] PAYMENT - Takes(s): 10.0, Count: 257, TPM: 1549.2, Sum(ms): 2941.8, Avg(ms): 11.4, 50th(ms): 11.5, 90th(ms): 13.6, 95th(ms): 14.2, 99th(ms): 15.7, 99.9th(ms): 17.8, Max(ms): 17.8
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 26, TPM: 159.5, Sum(ms): 218.6, Avg(ms): 8.4, 50th(ms): 8.4, 90th(ms): 10.5, 95th(ms): 10.5, 99th(ms): 12.6, 99.9th(ms): 12.6, Max(ms): 12.6
[Current] DELIVERY - Takes(s): 9.7, Count: 27, TPM: 167.5, Sum(ms): 1305.0, Avg(ms): 48.0, 50th(ms): 48.2, 90th(ms): 52.4, 95th(ms): 56.6, 99th(ms): 65.0, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 254, TPM: 1525.7, Sum(ms): 5134.2, Avg(ms): 20.2, 50th(ms): 21.0, 90th(ms): 25.2, 95th(ms): 25.2, 99th(ms): 27.3, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 20, TPM: 120.8, Sum(ms): 134.9, Avg(ms): 6.8, 50th(ms): 7.3, 90th(ms): 8.4, 95th(ms): 9.4, 99th(ms): 10.0, 99.9th(ms): 10.0, Max(ms): 10.0
[Current] PAYMENT - Takes(s): 9.9, Count: 250, TPM: 1518.3, Sum(ms): 2923.4, Avg(ms): 11.7, 50th(ms): 12.1, 90th(ms): 13.6, 95th(ms): 14.7, 99th(ms): 16.8, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 29, TPM: 185.4, Sum(ms): 248.8, Avg(ms): 8.6, 50th(ms): 8.4, 90th(ms): 10.5, 95th(ms): 11.5, 99th(ms): 11.5, 99.9th(ms): 11.5, Max(ms): 11.5
[Current] DELIVERY - Takes(s): 9.9, Count: 26, TPM: 158.3, Sum(ms): 1335.2, Avg(ms): 51.2, 50th(ms): 50.3, 90th(ms): 54.5, 95th(ms): 58.7, 99th(ms): 75.5, 99.9th(ms): 75.5, Max(ms): 75.5
