[Current] DELIVERY - Takes(s): 9.9, Count: 34, TPM: 206.4, Sum(ms): 706.3, Avg(ms): 21.0, 50th(ms): 21.0, 90th(ms): 24.1, 95th(ms): 24.1, 99th(ms): 44.0, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 401, TPM: 2406.8, Sum(ms): 5705.9, Avg(ms): 14.2, 50th(ms): 13.6, 90th(ms): 16.3, 95th(ms): 18.9, 99th(ms): 46.1, 99.9th(ms): 65.0, Max(ms): 65.0
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 23, TPM: 142.1, Sum(ms): 57.6, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] PAYMENT - Takes(s): 10.0, Count: 359, TPM: 2159.5, Sum(ms): 3129.4, Avg(ms): 8.7, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 10.5, 99th(ms): 19.9, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 30, TPM: 184.9, Sum(ms): 75.5, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] DELIVERY - Takes(s): 9.6, Count: 33, TPM: 206.8, Sum(ms): 720.5, Avg(ms): 22.0, 50th(ms): 21.0, 90th(ms): 22.0, 95th(ms): 41.9, 99th(ms): 48.2, 99.9th(ms): 48.2, Max(ms): 48.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 392, TPM: 2357.3, Sum(ms): 5248.1, Avg(ms): 13.4, 50th(ms): 13.1, 90th(ms): 15.7, 95th(ms): 16.8, 99th(ms): 33.6, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 32, TPM: 193.3, Sum(ms): 86.2, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 389, TPM: 2335.9, Sum(ms): 3534.2, Avg(ms): 9.1, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 16.3, 99th(ms): 30.4, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] STOCK_LEVEL - Takes(s): 9.5, Count: 27, TPM: 171.4, Sum(ms): 65.9, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 10.0, Count: 38, TPM: 228.7, Sum(ms): 820.4, Avg(ms): 21.6, 50th(ms): 19.9, 90th(ms): 23.1, 95th(ms): 24.1, 99th(ms): 60.8, 99.9th(ms): 60.8, Max(ms): 60.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 369, TPM: 2216.5, Sum(ms): 5234.5, Avg(ms): 14.2, 50th(ms): 13.1, 90th(ms): 16.3, 95th(ms): 22.0, 99th(ms): 58.7, 99.9th(ms): 79.7, Max(ms): 79.7
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 39, TPM: 237.8, Sum(ms): 104.3, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 9.9, Count: 375, TPM: 2262.0, Sum(ms): 3413.5, Avg(ms): 9.1, 50th(ms): 8.4, 90th(ms): 10.5, 95th(ms): 13.1, 99th(ms): 29.4, 99.9th(ms): 75.5, Max(ms): 75.5
[Current] STOCK_LEVEL - Takes(s): 9.8, Count: 36, TPM: 219.8, Sum(ms): 87.8, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.9, Count: 30, TPM: 181.2, Sum(ms): 661.9, Avg(ms): 22.0, 50th(ms): 21.0, 90th(ms): 29.4, 95th(ms): 31.5, 99th(ms): 33.6, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 356, TPM: 2140.5, Sum(ms): 5381.1, Avg(ms): 15.1, 50th(ms): 14.2, 90th(ms): 18.9, 95th(ms): 23.1, 99th(ms): 54.5, 99.9th(ms): 71.3, Max(ms): 71.3
